Citation,Article Title,DOI,Wetland name,System,Class,Regime,Artificial,CW Water Chem,CW Soil ,Additional Modifiers,Source,Number Pools,Landuse,Nutrient Event Sampling,Category,Data_year first year of sampling,Location,Watershed Area (km^2),Lat,Long,Frequency,Age (years),Years monitored,Surface.area,What is P measured in?,How,Load_method,Notes,Article Title,TPloading g.m2.y,%retention,TPretention g.m2.y,Wetland name,Wetland.name,clusters8
Bhomia 2015,Soil and phosphorus accretion rates in sub-tropical wetlands: Everglades Stormwater Treatment Areas as a case example,,STA-2,Palustrine,Emergent,Semipermanently Flooded,Y,No data,Organic,,Runoff,NA,Agriculture,NA,Flow through,2009,"US, Florida",NA,26.74264391,-80.70409976,sediment,10,10,3334,Sediment,NA,NA,Data from cores,Soil and phosphorus accretion rates in sub-tropical wetlands: Everglades Stormwater Treatment Areas as a case example,NA,NA,1.9,STA-2,STA-2,3
Bhomia 2015,Soil and phosphorus accretion rates in sub-tropical wetlands: Everglades Stormwater Treatment Areas as a case example,,STA-3/4,Palustrine,Emergent,Semipermanently Flooded,Y,No data,Organic,,Runoff,NA,Agriculture,NA,Flow through,2009,"US, Florida",NA,26.74264391,-80.70409976,sediment,6,6,6695,Sediment,NA,NA,Data from cores,Soil and phosphorus accretion rates in sub-tropical wetlands: Everglades Stormwater Treatment Areas as a case example,NA,NA,3.3,STA-3/4,STA-3/4,3
Blake 2022,Quantifying sediment and particulate phosphorus accumulation in restored floodplain wetlands using beryllium-7 as a tracer,10.1002/hyp.14702,River Odense Floodplain,Riverine - Lower Perennial,Floodplain meadow,Intermittently Flooded,N,,Mixed,,Stream/River,NA,Agriculture,NA,Floodplain,2011,Denmark,254,55.21845419,10.30979775,seasonally,8,8,125,Sediment,NA,NA,measured yearly deposition (but substrate was deployed for 12 months),Quantifying sediment and particulate phosphorus accumulation in restored floodplain wetlands using beryllium-7 as a tracer,NA,5.1,2.4,River Odense Floodplain,River Odense Floodplain,4
Bosak 2016,Performance of a Constructed Wetland and Pretreatment System Receiving Potato Farm Wash Water,,Y1SpringSummer,Palustrine,Emergent,Permanently Flooded,Y,No data,Mineral,WWT,Wastewater,4,Agriculture,N,Flow through,2012,Canada,NA,44.17873,-79.8879,biweekly,4,2,0.1209,Water,NA,NA,,Performance of a Constructed Wetland and Pretreatment System Receiving Potato Farm Wash Water,88.54,58.75,53.73,Y1SpringSummer,Y1SpringSummer,1
Braskerud 2002,Factors affecting phosphorus retention in small constructed wetlands treating agricultural non-point source pollution,,CW G2,Palustrine,Emergent,Semipermanently Flooded,N,Neutral,Mineral,,Stream/River,4,Agriculture,Y,Flow through,1996,Norway,0.22,58.95618515,5.672988782,daily,4,4,0.084,Water,ISCO,ISCO,,Factors affecting phosphorus retention in small constructed wetlands treating agricultural non-point source pollution,106,44,46.64,CW G2,CW G2,2
Braskerud 2002,Factors affecting phosphorus retention in small constructed wetlands treating agricultural non-point source pollution,,CW G1,Palustrine,Emergent,Semipermanently Flooded,N,Neutral,Mineral,,Stream/River,4,Agriculture,Y,Flow through,1996,Norway,0.22,58.95618515,5.672988782,daily,4,4,0.046,Water,ISCO,ISCO,,Factors affecting phosphorus retention in small constructed wetlands treating agricultural non-point source pollution,191,37,70.67,CW G1,CW G1,2
Braskerud 2002,Factors affecting phosphorus retention in small constructed wetlands treating agricultural non-point source pollution,,CW F,Palustrine,Emergent,Semipermanently Flooded,N,Neutral,Mineral,,Stream/River,4,Agriculture,Y,Flow through,1996,Norway,1.03,63.42367271,10.34701864,daily,3,3,0.087,Water,ISCO,ISCO,,Factors affecting phosphorus retention in small constructed wetlands treating agricultural non-point source pollution,124,21,26,CW F,CW F,2
Brunet 2021,Nutrient capture in an Iowa farm pond: Insights from high-frequency observations,10.1016/j.jenvman.2021.113647,Perry Pond,Palustrine,Aquatic Bed,Intermittently Exposed,N,No data,No data,,Stream/River,1,Agriculture,N,Flow through,2018,"US, Iowa",2.3,41.90363769,-93.22445848,daily,50,1,4.2,Water,ISCO,ISCO,,Nutrient capture in an Iowa farm pond: Insights from high-frequency observations,0.23,8,0.02,Perry Pond,Perry Pond,2
Bulc 2006,Long term performance of a constructed wetland for landfill leachate treatment,10.1016/j.ecoleng.2006.01.003,Landfill CW,Palustrine,Emergent,Permanently Flooded,Y,Neutral,No data,WWT,Wastewater,NA,Urban,N,Flow through,1996,Slovenia,,46.02266,14.47898,monthly,1,7,0.0311,Water,NA,NA,,Long term performance of a constructed wetland for landfill leachate treatment,41.98,53,22.25,Landfill CW,Landfill CW,1
Busse 2001,Riparian alder fens - source or sink for nutrients and dissolved organic carbon? 2. Major sources and sinks,10.1016/S0075-9511(02)80016-0,Briese Alder Fen,Palustrine,Forested,Semipermanently Flooded,N,Neutral,Organic,,Stream/River,NA,Floodplain,NA,Floodplain,1998,Germany,57.1,52.71077,13.3338,sediment,NA,1,4.9,Sediment and Surface water,NA,NA,"Don't report input data, but do construct a phosphorus budget with inputs from ecosystem veg and release, along with sedimentation as the main storage route for P",Riparian alder fens - source or sink for nutrients and dissolved organic carbon? 2. Major sources and sinks,NA,NA,-0.88,Briese Alder Fen,Briese Alder Fen,2
Byeon 2020,An assessment of the ecological functions of a sustainable structured wetland biotope (SSB),10.1016/j.ecoleng.2020.105723,Jecheon City SSB Wetland,Palustrine,Emergent,NA,N,No data,No data,,Runoff,2,Urban,Y,Flow through,2019,South Korea,3.235,36.8107104,127.9227379,event,1,1,1.67,Water,NA,Event,Stripped data from graph. They have a nice table of other Korean wetlands with data on phosphorus retention (in their supplemental info),An assessment of the ecological functions of a sustainable structured wetland biotope (SSB),36.97,87.75,32.44,Jecheon City SSB Wetland,Jecheon City SSB Wetland,3
Carstensen 2019,Reducing adverse side effects by seasonally lowering nitrate removal in subsurface flow constructed wetlands,,CW 1,Palustrine,Emergent,Seasonally Flooded,N,Neutral,No data,,Runoff,,Urban,Pooled Samples (autosampler)),,2013,"Denmark, Jutland",,55.62944,9.201107,daily,1,5,0.01,Water,ISCO,ISCO,,Reducing adverse side effects by seasonally lowering nitrate removal in subsurface flow constructed wetlands,97,41,39.77,CW 1,CW 1,3
Carstensen 2019,Reducing adverse side effects by seasonally lowering nitrate removal in subsurface flow constructed wetlands,,CW 2,Palustrine,Emergent,Seasonally Flooded,N,Neutral,No data,,Runoff,,Urban,Pooled Samples (autosampler)),,2013,"Denmark, Jutland",,55.62944,9.201107,daily,1,5,0.01,Water,ISCO,ISCO,,Reducing adverse side effects by seasonally lowering nitrate removal in subsurface flow constructed wetlands,178,32,56.96,CW 2,CW 2,3
Carter 2022,Turbidity and Estimated Phosphorus Retention in a Reconnected Lake Erie Coastal Wetland,,Crane Creek 2014,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,No data,,Stream/River,1,Agriculture,N,Coastal,2014,"US, Ohio",143,41.55928098,-83.44000605,monthly,2,2,41,Water,Turbidity-TP Relationship,other,"Used turbidity measurements to predict TP, calibrated prior to study at that site.",Turbidity and Estimated Phosphorus Retention in a Reconnected Lake Erie Coastal Wetland,1.49,10,0.15,Crane Creek 2014,Crane Creek 2014,2
Carter 2022,Turbidity and Estimated Phosphorus Retention in a Reconnected Lake Erie Coastal Wetland,10.3390/w14121853,Crane Creek 2013,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,No data,,Stream/River,1,Agriculture,N,Coastal,2013,"US, Ohio",143,41.55928098,-83.44000605,monthly,2,2,41,Water,Turbidity-TP Relationship,other,"Used turbidity measurements to predict TP, calibrated prior to study at that site.",Turbidity and Estimated Phosphorus Retention in a Reconnected Lake Erie Coastal Wetland,1.59,8,0.13,Crane Creek 2013,Crane Creek 2013,2
Chen 2007,An off-line filtering ditch-pond system for diffuse pollution control at Wuhan City Zoo,10.1016/j.ecoleng.2007.04.008,Wuhan City Zoo Wetland,Palustrine,Aquatic Bed,Intermittently Flooded,N,No data,No data,,Runoff,3,Urban,N,Flow through,2003,China,NA,30.54427,114.233,event,1,2,0.0415,Water,Flow-weighted concentrations,flow-weighted,,An off-line filtering ditch-pond system for diffuse pollution control at Wuhan City Zoo,2.45,79.67,1.73,Wuhan City Zoo Wetland,Wuhan City Zoo Wetland,3
Cooper 2019,Mitigating river sediment enrichment through the construction of roadside wetlands,10.1016/j.jenvman.2018.10.035,CW3,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,No data,,Runoff,1,Agriculture,N,Floodplain,2016,UK,0.237,52.72464,1.051472,event,1,6,0.012,Water,NA,NA,TP inputs are measured as g/hr and removal % is from water budgets. This budget is taken from stream water that flows through this wetland. TP removal I put in is based on sediment accretion.,Mitigating river sediment enrichment through the construction of roadside wetlands,NA,50,0.05,CW3,CW3,3
Correll 2000,Beaver pond biogeochemical effects in the Maryland Coastal Plain,10.1023/A:1006330501887,Beaver Pond,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,No data,,Stream/River,1,Floodplain,Pooled Samples (autosampler)),Flow through,1984,"US, Maryland",,38.84997491,-76.5333333,weekly,1,6,226,Water,Constant,Constant,"Kindof weird, measured as a comparison of fluxes to a control wetland as opposed to inflows and outflows",Beaver pond biogeochemical effects in the Maryland Coastal Plain,NA,NA,0.01,Beaver Pond,Beaver Pond,2
Coveney 2002,Nutrient removal from eutrophic lake water by wetland filtration,10.1016/S0925-8574(02)00037-X,Lake Apopka Marsh Flow-way,Palustrine,Emergent,Intermittently Flooded,Y,No data,Organic,Pumped,Lake,2,Agriculture,N,Coastal,1990,"US, Florida",125,28.68716995,-81.67658997,biweekly,1,5,200,Water,NA,NA,"Too many numbers from too many periods, no summary stats for any periods. Not that useful for our purposes",Nutrient removal from eutrophic lake water by wetland filtration,NA,NA,0.48,Lake Apopka Marsh Flow-way,Lake Apopka Marsh Flow-way,3
Craft 2000,"Sediment and nutrient accumulation in floodplain and depressional freshwater wetlands of Georgia, USA",10.1672/0277-5212(2000)020[0323:SANAIF]2.0.CO;2,Depressional Joseph Jones Wetlands,Palustrine,Emergent,Permanently Flooded,N,No data,Mineral,,Runoff,1,Forest,NA,Isolated,2000,"US, Georgia",1,33.71622,-84.4782,sediment,NA,30,,Sediment,NA,NA,Calculated storage based on sediment cores. May need to exclude because of no input data. But maybe not.,"Sediment and nutrient accumulation in floodplain and depressional freshwater wetlands of Georgia, USA",NA,NA,0.08,Depressional Joseph Jones Wetlands,Depressional Joseph Jones Wetlands,3
Craft 2000,"Sediment and nutrient accumulation in floodplain and depressional freshwater wetlands of Georgia, USA",,Ichauwaynochaway Creek Floodplains,Riverine - Lower Perennial,Forested,Intermittently Flooded,N,No data,Mineral,,Stream/River,NA,Floodplain,NA,Floodplain,2000,"US, Georgia",2600,31.79986,-84.5667,sediment,NA,30,,Sediment,NA,NA,Calculated storage based on sediment cores. May need to exclude because of no input data. But maybe not.,"Sediment and nutrient accumulation in floodplain and depressional freshwater wetlands of Georgia, USA",NA,NA,0.12,Ichauwaynochaway Creek Floodplains,Ichauwaynochaway Creek Floodplains,4
Dalsgaard 2021,Nutrient removal in a slow-flowing constructed wetland treating aquaculture effluent,10.3354/aei00411,Trout Farm,Palustrine,Aquatic Bed,Permanently Flooded,Y,Neutral,No data,Pumped,Wastewater,3,Agriculture,N,Flow through,2007,Denmark,,56.99841,9.673497,biweekly,10,1,0.751,Water,ISCO,ISCO,,Nutrient removal in a slow-flowing constructed wetland treating aquaculture effluent,138.7,42,58.25,Trout Farm,Trout Farm,2
Devito 1989,PHOSPHORUS AND NITROGEN-RETENTION IN 5 PRECAMBRIAN SHIELD WETLANDS,,Harp 4 Beaver Pond,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,No data,,Runoff,,Wetland,N,Flow through,1982,Canada,0.581,45.38338602,-79.13335476,weekly,NA,2,3.81,Water,Constant,Constant,,PHOSPHORUS AND NITROGEN-RETENTION IN 5 PRECAMBRIAN SHIELD WETLANDS,0.01,7,0,Harp 4 Beaver Pond,Harp 4 Beaver Pond,3
Devito 1989,PHOSPHORUS AND NITROGEN-RETENTION IN 5 PRECAMBRIAN SHIELD WETLANDS,,Plastic 1 Conifer Swamp,Palustrine,Forested,Seasonally Flooded/Saturated,N,No data,No data,,Runoff,,Wetland,N,Flow through,1982,Canada,0.188,45.18337108,-78.83331184,weekly,NA,2,2.12,Water,Constant,Constant,,PHOSPHORUS AND NITROGEN-RETENTION IN 5 PRECAMBRIAN SHIELD WETLANDS,0.04,1,0,Plastic 1 Conifer Swamp,Plastic 1 Conifer Swamp,3
Devito 1989,PHOSPHORUS AND NITROGEN-RETENTION IN 5 PRECAMBRIAN SHIELD WETLANDS,,Paint 1 Beaver Pond,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,No data,,Runoff,,Wetland,N,Flow through,1982,Canada,0.172,45.21676492,-78.91665597,weekly,NA,2,0.83,Water,Constant,Constant,,PHOSPHORUS AND NITROGEN-RETENTION IN 5 PRECAMBRIAN SHIELD WETLANDS,0.07,-44,-0.03,Paint 1 Beaver Pond,Paint 1 Beaver Pond,3
Devito 1989,PHOSPHORUS AND NITROGEN-RETENTION IN 5 PRECAMBRIAN SHIELD WETLANDS,,Harp 4 Conifer Swamp,Palustrine,Forested,Seasonally Flooded/Saturated,N,No data,No data,,Runoff,,Wetland,N,Flow through,1982,Canada,0.27,45.38343123,-79.13334403,weekly,NA,2,1.13,Water,Constant,Constant,,PHOSPHORUS AND NITROGEN-RETENTION IN 5 PRECAMBRIAN SHIELD WETLANDS,0.11,15,0.02,Harp 4 Conifer Swamp,Harp 4 Conifer Swamp,3
Devito 1989,PHOSPHORUS AND NITROGEN-RETENTION IN 5 PRECAMBRIAN SHIELD WETLANDS,,Paint 1 Sedge Fen,Palustrine,Emergent,Seasonally Flooded/Saturated,N,No data,No data,,Runoff,,Wetland,N,Flow through,1982,Canada,0.056,45.21666667,-78.91670962,weekly,NA,2,0.1,Water,Constant,Constant,,PHOSPHORUS AND NITROGEN-RETENTION IN 5 PRECAMBRIAN SHIELD WETLANDS,0.3,17,0.05,Paint 1 Sedge Fen,Paint 1 Sedge Fen,3
Diaz 2012,Agricultural pollutant removal by constructed wetlands: Implications for water management and design,,W5,Palustrine,Emergent,Intermittently Flooded,N,Alkaline,Mineral,,Runoff,,Agriculture,N,,2007,California,17.5,37.8,-121.6,weekly,3,1,159,Water,Constant,Constant,,Agricultural pollutant removal by constructed wetlands: Implications for water management and design,1.38,-11.3,-0.16,W5,W5,3
Diaz 2012,Agricultural pollutant removal by constructed wetlands: Implications for water management and design,,W6,Palustrine,Emergent,Intermittently Flooded,N,Alkaline,Mineral,,Runoff,,Agriculture,N,,2007,California,17.5,37.8,-121.6,weekly,3,1,130,Water,Constant,Constant,,Agricultural pollutant removal by constructed wetlands: Implications for water management and design,1.39,5.8,0.08,W6,W6,3
